https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1682553600000,2023-04-27 00:00:00,BTC/USDC,28411.83,29901.47,28411.83,29476.62,140800,4.835928,78537.04,2.697141,3882,29117.38
1682467200000,2023-04-26 00:00:00,BTC/USDC,28280.62,29989.12,27349.6,28457.42,207052.57,7.161403,85766.05,2.986388,3380,28932.38
1682380800000,2023-04-25 00:00:00,BTC/USDC,27532.83,28409.4,27215.13,28291.65,122240.93,4.434051,53010.27,1.924916,3390,27571.95
1682294400000,2023-04-24 00:00:00,BTC/USDC,27618.68,27998.75,27007,27538.64,120769.76,4.390051,54356.74,1.973923,4019,27511.16
1682208000000,2023-04-23 00:00:00,BTC/USDC,27833.09,27863.95,27375.56,27622.16,160361.69,5.816049,74425.4,2.698768,4167,27572.53
1682121600000,2023-04-22 00:00:00,BTC/USDC,27291.36,27885.58,27174.84,27817.53,176806.36,6.444841,82193.16,2.996833,5122,27435
1682035200000,2023-04-21 00:00:00,BTC/USDC,28273.23,28381.02,27182.7,27306.07,173872.31,6.22544,75172.07,2.692123,4936,27933.45
1681948800000,2023-04-20 00:00:00,BTC/USDC,28847.22,29130.7,28058.4,28273.22,240026.57,8.401639,132763.47,4.652985,5071,28572.52
1681862400000,2023-04-19 00:00:00,BTC/USDC,30382.6,30431.06,28727.29,28870.81,553345.91,18.926563,102202.52,3.457634,6037,29240.91
1681776000000,2023-04-18 00:00:00,BTC/USDC,29455.12,30471.17,29149.84,30393.35,173784.92,5.793108,89858.41,2.993086,4784,30002.57
1681689600000,2023-04-17 00:00:00,BTC/USDC,30303.46,30352.1,29276.67,29453.53,204949.4,6.890538,81429.9,2.734075,4901,29745.89
1681603200000,2023-04-16 00:00:00,BTC/USDC,30311.92,30566.59,30162.93,30303.46,149432.22,4.927292,70787.37,2.334094,4752,30327.55
1681516800000,2023-04-15 00:00:00,BTC/USDC,30481.16,30598.38,30226.98,30310.53,165074.11,5.432424,71843.13,2.363992,4768,30386.92
1681430400000,2023-04-14 00:00:00,BTC/USDC,30398.77,30999.93,30031.34,30511.17,177691.52,5.808319,74224.17,2.426114,4876,30594.19
1681344000000,2023-04-13 00:00:00,BTC/USDC,29922.12,30568.33,29890.2,30395.08,177585.04,5.873203,92730.18,3.067471,5161,30237.09
