https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1576972800000,2019-12-22 00:00:00,LTC/USDC,39.70888301,42.24777822,39.65032571,41.92453749,38790.38480687,937.68344811,0,0,0,41.36831559
1576886400000,2019-12-21 00:00:00,LTC/USDC,40.05516437,40.17402517,39.47278161,39.74418269,35916.84777366,901.00754689,0,0,0,39.86298216
1576800000000,2019-12-20 00:00:00,LTC/USDC,39.56665514,40.40693187,39.43377988,40.17676458,50975.38794551,1275.22840425,0,0,0,39.97353554
1576713600000,2019-12-19 00:00:00,LTC/USDC,41.09196915,41.09196915,39.11410857,39.7736146,74801.41090517,1881.12603023,0,0,0,39.76416768
1576627200000,2019-12-18 00:00:00,LTC/USDC,36.87315778,41.65502878,35.7279359,40.84310456,161764.42789996,4114.18539592,0,0,0,39.31870159
1576540800000,2019-12-17 00:00:00,LTC/USDC,39.88093373,39.98502439,36.171454,36.83251431,177034.86979969,4638.36922742,0,0,0,38.16748109
1576454400000,2019-12-16 00:00:00,LTC/USDC,43.30010514,43.39305266,39,39.88093373,95622.30670672,2340.46020569,0,0,0,40.85619848
1576368000000,2019-12-15 00:00:00,LTC/USDC,43.1,43.9257306,42.88935402,43.57315255,24423.98317032,564.01878611,0,0,0,43.30349231
1576281600000,2019-12-14 00:00:00,LTC/USDC,44.43997339,44.55050699,43.10000017,43.38026774,13423.58543113,305.22751616,0,0,0,43.97894921
1576195200000,2019-12-13 00:00:00,LTC/USDC,43.76866516,44.47624183,43.46455961,44.14307618,23556.19859717,533.83572605,0,0,0,44.12630599
1576108800000,2019-12-12 00:00:00,LTC/USDC,43.71674927,44.01575001,42.81201029,44.01575001,47272.31947282,1089.82314121,0,0,0,43.37613846
1576022400000,2019-12-11 00:00:00,LTC/USDC,44.13710793,44.40231252,43.25201027,43.52059251,62440.81895188,1425.69908983,0,0,0,43.7966324
1575936000000,2019-12-10 00:00:00,LTC/USDC,44.50540773,44.55338475,43.63478122,44.20258563,52566.6989132,1192.45123969,0,0,0,44.08289174
